Time_seconds,OmegaX_[deg/s],OmegaY_[deg/s],OmegaZ_[deg/s],AccX_[m/s/s],AccY_[m/s/s],AccZ_[m/s/s],Temperature_[C]
0.011,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1676514,9.8722706,31.41
0.022,0.0000000,0.0000000,0.0000000,-0.3353027,-0.1437012,9.8818502,31.42
0.033,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1484912,9.8962212,31.43
0.044,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1676514,9.8818502,31.43
0.055,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1916016,9.8866405,31.44
0.066,0.0000000,0.0000000,0.0000000,-0.3879932,-0.1820215,9.8818502,31.43
0.077,0.0000000,0.0000000,0.0000000,-0.4071533,-0.1772314,9.8770609,31.42
0.088,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1772314,9.9058008,31.42
0.099,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1820215,9.9010105,31.43
0.110,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1963916,9.8962212,31.43
0.121,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1916016,9.8435307,31.42
0.132,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1868115,9.8914309,31.44
0.143,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1580713,9.8674803,31.44
0.154,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1484912,9.8818502,31.44
0.165,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1532813,9.8962212,31.44
0.176,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1868115,9.8866405,31.44
0.187,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1724414,9.9058008,31.45
0.198,0.0000000,0.0610352,0.0000000,-0.3400928,-0.1724414,9.8818502,31.46
0.209,0.0000000,0.0000000,0.0000000,-0.3257227,-0.1820215,9.8818502,31.45
0.220,0.0000000,0.0610352,0.0000000,-0.3544629,-0.1772314,9.8818502,31.43
0.231,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1772314,9.8818502,31.43
0.242,0.0000000,0.0000000,0.0000000,-0.3832031,-0.1676514,9.8866405,31.43
0.253,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1676514,9.8674803,31.44
0.264,0.0000000,0.0000000,-0.0610352,-0.3927832,-0.1628613,9.8914309,31.43
0.275,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1724414,9.8962212,31.43
0.286,0.0000000,0.0000000,0.0000000,-0.3305127,-0.1724414,9.8914309,31.44
0.297,0.0000000,0.0000000,-0.0610352,-0.3353027,-0.1628613,9.8866405,31.44
0.308,0.0000000,0.0000000,-0.0610352,-0.3448828,-0.1724414,9.8818502,31.44
0.319,0.0000000,0.0000000,0.0000000,-0.3353027,-0.1868115,9.8818502,31.43
0.330,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1868115,9.8866405,31.43
0.341,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1628613,9.9153805,31.43
0.352,0.0000000,0.0000000,-0.0610352,-0.3879932,-0.1580713,9.9058008,31.42
0.363,0.0610352,-0.0610352,-0.0610352,-0.3832031,-0.1772314,9.9010105,31.43
0.374,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1772314,9.8818502,31.43
0.385,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1820215,9.8914309,31.43
0.396,0.0000000,0.0610352,0.0000000,-0.3496729,-0.1772314,9.8531103,31.42
0.407,0.0610352,0.0000000,0.0000000,-0.3640430,-0.1724414,9.8722706,31.42
0.418,0.0000000,0.0610352,0.0000000,-0.3544629,-0.1628613,9.9010105,31.42
0.429,0.0000000,0.0610352,0.0000000,-0.3832031,-0.1580713,9.8914309,31.44
0.440,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1437012,9.8770609,31.45
0.451,0.0000000,0.0000000,-0.0610352,-0.3736230,-0.1389111,9.8818502,31.44
0.462,0.0000000,0.0000000,-0.0610352,-0.3640430,-0.1484912,9.9105911,31.44
0.473,0.0000000,0.0000000,-0.1220703,-0.3784131,-0.1484912,9.8914309,31.44
0.484,0.0000000,0.0000000,-0.0610352,-0.3496729,-0.1724414,9.8866405,31.44
0.495,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1820215,9.9010105,31.44
0.505,0.0000000,0.0000000,-0.0610352,-0.3544629,-0.1820215,9.8818502,31.44
0.516,0.0610352,0.0000000,0.0000000,-0.3688330,-0.1868115,9.9010105,31.42
0.527,0.0000000,0.0000000,0.0000000,-0.3832031,-0.1676514,9.8818502,31.44
0.538,0.0000000,0.0610352,0.0000000,-0.3832031,-0.1676514,9.8722706,31.44
0.549,0.0000000,0.0610352,-0.0610352,-0.3592529,-0.1820215,9.8626900,31.44
0.560,0.0000000,0.0610352,0.0000000,-0.3544629,-0.1676514,9.8579006,31.43
0.571,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1676514,9.8770609,31.43
0.582,0.0000000,0.0610352,-0.0610352,-0.3496729,-0.1532813,9.8579006,31.42
0.593,0.0000000,0.0610352,0.0000000,-0.3448828,-0.1532813,9.8914309,31.42
0.604,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1580713,9.8722706,31.43
