Time_seconds,OmegaX_[deg/s],OmegaY_[deg/s],OmegaZ_[deg/s],AccX_[m/s/s],AccY_[m/s/s],AccZ_[m/s/s],Temperature_[C]
0.747,0.0610352,-0.0610352,0.0000000,-0.3592529,-0.1628613,9.9105911,31.37
0.758,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1676514,9.9393311,31.35
0.769,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1724414,9.9105911,31.37
0.780,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1628613,9.8866405,31.38
0.791,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1532813,9.8770609,31.39
0.802,0.0000000,0.0000000,-0.0610352,-0.3544629,-0.1628613,9.8626900,31.39
0.813,0.0610352,0.0610352,0.0000000,-0.3544629,-0.1628613,9.8770609,31.38
0.824,0.0000000,0.0000000,-0.0610352,-0.3448828,-0.1724414,9.9105911,31.37
0.835,0.0000000,0.0000000,-0.0610352,-0.3496729,-0.1676514,9.8962212,31.35
0.846,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1772314,9.8722706,31.36
0.857,0.0000000,-0.0610352,0.0000000,-0.3736230,-0.1532813,9.8818502,31.37
0.868,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1772314,9.8770609,31.39
0.879,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1628613,9.8962212,31.37
0.890,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1628613,9.9105911,31.37
0.901,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1724414,9.9010105,31.38
0.912,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1868115,9.8818502,31.36
0.923,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1532813,9.8962212,31.36
0.934,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1628613,9.8818502,31.37
0.945,0.0610352,0.0000000,0.0000000,-0.3496729,-0.1724414,9.8674803,31.37
0.956,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1772314,9.8866405,31.37
0.967,0.0000000,0.0000000,-0.0610352,-0.3544629,-0.1724414,9.8818502,31.36
0.978,0.0000000,0.0000000,-0.0610352,-0.3832031,-0.1532813,9.9058008,31.36
0.989,0.0000000,0.0610352,0.0000000,-0.3544629,-0.1628613,9.8674803,31.37
1.000,0.0000000,0.0610352,0.0000000,-0.3496729,-0.1484912,9.8770609,31.37
1.011,0.0000000,0.0610352,-0.0610352,-0.3592529,-0.1628613,9.8914309,31.36
1.022,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1532813,9.8818502,31.35
