Time_seconds,OmegaX_[deg/s],OmegaY_[deg/s],OmegaZ_[deg/s],AccX_[m/s/s],AccY_[m/s/s],AccZ_[m/s/s],Temperature_[C]
0.011,0.0000000,0.0000000,-0.0610352,-0.3353027,-0.1628613,9.8962212,31.64
0.022,0.0000000,0.0000000,-0.0610352,-0.3544629,-0.1628613,9.8962212,31.64
0.033,0.0000000,0.0610352,0.0000000,-0.3496729,-0.1532813,9.8818502,31.64
0.044,0.0000000,0.0000000,0.0000000,-0.3832031,-0.1724414,9.9201708,31.65
0.055,0.0000000,0.0000000,0.0000000,-0.3879932,-0.1772314,9.9201708,31.64
0.066,0.0610352,0.0000000,0.0000000,-0.3640430,-0.1772314,9.9105911,31.64
0.077,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1868115,9.9010105,31.65
0.088,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1772314,9.8626900,31.64
0.099,0.0000000,0.0000000,-0.0610352,-0.3448828,-0.1772314,9.9153805,31.62
0.110,0.0610352,0.0610352,0.0000000,-0.3544629,-0.1676514,9.9010105,31.63
0.121,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1772314,9.8818502,31.64
0.132,0.0000000,0.0000000,0.0000000,-0.3832031,-0.1772314,9.8531103,31.64
0.143,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.8674803,31.64
0.154,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1820215,9.8866405,31.63
0.165,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1772314,9.8866405,31.63
0.176,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1916016,9.8962212,31.64
0.187,0.0000000,0.0000000,-0.0610352,-0.3496729,-0.1724414,9.9058008,31.65
0.198,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1389111,9.8770609,31.65
0.209,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1532813,9.9249611,31.65
0.220,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1676514,9.8579006,31.66
0.231,0.0000000,-0.0610352,0.0000000,-0.3305127,-0.1676514,9.8626900,31.64
0.242,0.0000000,0.0000000,0.0000000,-0.3353027,-0.1724414,9.8770609,31.64
0.253,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1820215,9.8435307,31.64
0.264,0.0000000,0.0000000,0.0000000,-0.3832031,-0.1772314,9.8818502,31.64
0.275,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1772314,9.8818502,31.64
0.286,0.0000000,0.0000000,0.0000000,-0.3832031,-0.1868115,9.8722706,31.64
0.297,0.0000000,0.0610352,0.0000000,-0.3832031,-0.1868115,9.9010105,31.65
0.308,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1676514,9.8674803,31.65
0.319,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1676514,9.8866405,31.65
0.330,0.0610352,0.0000000,0.0000000,-0.3353027,-0.1628613,9.8866405,31.65
0.341,0.0000000,0.0610352,0.0000000,-0.3305127,-0.1580713,9.9010105,31.64
0.352,0.0000000,0.0610352,0.0000000,-0.3305127,-0.1772314,9.8722706,31.64
0.363,0.0000000,0.0610352,0.0000000,-0.3400928,-0.1724414,9.8818502,31.64
0.374,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1628613,9.8674803,31.67
0.385,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1580713,9.9058008,31.66
0.396,0.0610352,0.0610352,0.0000000,-0.3688330,-0.1532813,9.8866405,31.66
0.407,0.0610352,0.0610352,0.0000000,-0.3784131,-0.1580713,9.8483200,31.65
0.418,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1820215,9.8722706,31.65
0.429,0.0000000,0.0000000,-0.0610352,-0.3640430,-0.2059717,9.8674803,31.64
0.440,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1916016,9.8626900,31.65
0.451,0.0000000,0.0000000,0.0000000,-0.3353027,-0.2011816,9.8818502,31.64
0.462,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1724414,9.8818502,31.63
0.473,0.0610352,0.0000000,0.0000000,-0.3353027,-0.1676514,9.9010105,31.64
0.484,0.0000000,0.0000000,-0.0610352,-0.3305127,-0.1628613,9.8866405,31.64
0.495,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.8626900,31.64
0.505,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1341211,9.8626900,31.64
0.516,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1532813,9.8770609,31.66
0.527,0.0000000,0.0000000,0.0000000,-0.3975732,-0.1772314,9.8674803,31.66
0.538,0.0000000,0.0610352,0.0000000,-0.3784131,-0.1820215,9.8770609,31.64
0.549,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1868115,9.8722706,31.64
0.560,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1820215,9.8674803,31.65
0.571,0.0000000,0.0610352,0.0000000,-0.3257227,-0.1724414,9.8818502,31.65
0.582,0.0000000,0.0610352,0.0000000,-0.3400928,-0.1772314,9.8962212,31.64
0.593,0.0000000,0.0610352,0.0000000,-0.3305127,-0.1820215,9.8531103,31.65
0.604,0.0000000,0.0610352,0.0000000,-0.3496729,-0.2011816,9.9058008,31.64
0.615,0.0000000,0.0610352,0.0000000,-0.3879932,-0.1772314,9.9105911,31.63
0.626,0.0000000,0.0610352,0.0000000,-0.3879932,-0.1724414,9.8674803,31.63
0.637,0.0000000,0.0610352,-0.0610352,-0.3640430,-0.1724414,9.8962212,31.64
0.648,0.0000000,0.0000000,-0.0610352,-0.3544629,-0.1724414,9.8914309,31.64
0.659,0.0000000,0.0000000,-0.0610352,-0.3592529,-0.1868115,9.8722706,31.64
0.670,0.0000000,0.0000000,-0.0610352,-0.3496729,-0.1963916,9.8770609,31.64
0.681,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1676514,9.9010105,31.65
0.692,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1532813,9.8722706,31.65
0.703,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1484912,9.8674803,31.63
0.714,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1772314,9.8866405,31.62
0.725,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1868115,9.8962212,31.65
0.736,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1963916,9.8770609,31.65
0.747,0.0000000,0.0000000,-0.0610352,-0.3496729,-0.1820215,9.8674803,31.64
0.758,0.0000000,0.0610352,-0.0610352,-0.3496729,-0.1724414,9.8579006,31.63
0.769,0.0000000,0.0610352,-0.0610352,-0.3640430,-0.1484912,9.8866405,31.62
0.780,0.0000000,0.0610352,-0.0610352,-0.3640430,-0.1580713,9.9105911,31.63
0.791,0.0000000,0.0610352,-0.0610352,-0.3496729,-0.1484912,9.8674803,31.63
0.802,0.0000000,0.0610352,0.0000000,-0.3305127,-0.1437012,9.8626900,31.64
0.813,0.0000000,0.0610352,0.0000000,-0.3400928,-0.1532813,9.8387403,31.65
0.824,0.0000000,0.0000000,0.0000000,-0.3305127,-0.1532813,9.8674803,31.64
0.835,0.0000000,0.0000000,-0.0610352,-0.3736230,-0.1676514,9.8531103,31.64
0.846,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1820215,9.8914309,31.64
0.857,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1676514,9.8962212,31.64
0.868,-0.0610352,0.0610352,0.0000000,-0.3544629,-0.1820215,9.8866405,31.65
0.879,-0.0610352,0.0000000,-0.0610352,-0.3736230,-0.1772314,9.8387403,31.64
0.890,0.0000000,0.0000000,-0.0610352,-0.3640430,-0.1580713,9.8818502,31.64
0.901,0.0000000,0.0000000,-0.0610352,-0.3544629,-0.1389111,9.9058008,31.63
0.912,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1484912,9.8866405,31.64
0.923,0.0000000,0.0610352,-0.0610352,-0.3544629,-0.1724414,9.9010105,31.63
0.934,0.0000000,0.0000000,-0.1220703,-0.3353027,-0.1868115,9.8770609,31.64
0.945,0.0000000,0.0610352,-0.0610352,-0.3592529,-0.2203418,9.8531103,31.65
0.956,0.0000000,0.0000000,-0.0610352,-0.3832031,-0.2203418,9.8866405,31.64
0.967,0.0000000,0.0610352,-0.0610352,-0.3832031,-0.2107617,9.8483200,31.64
0.978,0.0000000,0.0000000,-0.1220703,-0.3879932,-0.1580713,9.8722706,31.64
0.989,0.0000000,0.0000000,-0.0610352,-0.3592529,-0.1580713,9.8674803,31.64
1.000,0.0000000,0.0000000,-0.0610352,-0.3305127,-0.1532813,9.8818502,31.64
1.011,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1532813,9.8914309,31.60
1.022,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1484912,9.8866405,31.62
1.033,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1820215,9.8866405,31.60
1.044,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1820215,9.8818502,31.61
1.055,0.0610352,0.0000000,0.0000000,-0.3640430,-0.1916016,9.8626900,31.60
1.066,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1963916,9.8531103,31.60
1.077,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1916016,9.8722706,31.60
1.088,0.0610352,0.0000000,0.0000000,-0.3688330,-0.1676514,9.8722706,31.61
1.099,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1772314,9.8770609,31.61
1.110,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1676514,9.8722706,31.61
1.121,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1676514,9.8866405,31.62
1.132,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1580713,9.9010105,31.62
1.143,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1676514,9.8770609,31.61
1.154,0.0000000,0.0000000,-0.0610352,-0.3592529,-0.1628613,9.9105911,31.61
1.165,-0.0610352,0.0610352,0.0000000,-0.3592529,-0.1628613,9.8818502,31.61
1.176,0.0000000,0.0610352,-0.0610352,-0.3544629,-0.1676514,9.8770609,31.61
1.187,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1772314,9.8818502,31.63
1.198,0.0000000,0.0000000,-0.0610352,-0.3448828,-0.1676514,9.8770609,31.63
1.209,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1772314,9.8866405,31.62
1.220,0.0000000,0.0610352,0.0000000,-0.3736230,-0.1628613,9.8818502,31.62
1.231,0.0000000,0.0000000,0.0000000,-0.3832031,-0.1820215,9.8579006,31.60
1.242,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1868115,9.8962212,31.59
1.253,0.0610352,0.0000000,0.0000000,-0.3496729,-0.1724414,9.8770609,31.61
1.264,0.0000000,0.0000000,0.0000000,-0.3400928,-0.1724414,9.8579006,31.60
1.275,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1437012,9.8818502,31.60
1.286,0.0000000,0.0610352,-0.0610352,-0.3496729,-0.1580713,9.8914309,31.59
1.297,0.0000000,0.0610352,0.0000000,-0.3496729,-0.1532813,9.8914309,31.60
1.308,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1820215,9.8626900,31.61
1.319,0.0000000,0.0610352,0.0000000,-0.3784131,-0.1868115,9.9010105,31.62
1.330,0.0000000,0.0610352,-0.0610352,-0.3688330,-0.1724414,9.9058008,31.62
1.341,0.0000000,0.0000000,-0.0610352,-0.3496729,-0.1580713,9.9058008,31.61
1.352,0.0000000,0.0610352,0.0000000,-0.3400928,-0.1724414,9.9010105,31.60
1.363,0.0000000,0.0000000,0.0000000,-0.3400928,-0.1820215,9.8722706,31.62
1.374,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.8435307,31.62
1.385,0.0000000,0.0000000,-0.0610352,-0.3832031,-0.1676514,9.8722706,31.63
1.396,0.0000000,0.0000000,0.0000000,-0.3832031,-0.1580713,9.9105911,31.62
1.407,0.0000000,0.0000000,0.0000000,-0.3927832,-0.1532813,9.8483200,31.61
1.418,0.0000000,0.0610352,-0.0610352,-0.3879932,-0.1532813,9.9058008,31.62
1.429,0.0000000,0.0000000,-0.0610352,-0.3784131,-0.1772314,9.8579006,31.60
1.440,0.0000000,0.0000000,-0.0610352,-0.3736230,-0.1820215,9.8866405,31.60
1.451,0.0000000,0.0000000,-0.0610352,-0.3400928,-0.1916016,9.9010105,31.61
1.462,0.0000000,0.0610352,0.0000000,-0.3448828,-0.1724414,9.8435307,31.62
1.473,0.0000000,0.0000000,0.0000000,-0.3353027,-0.1820215,9.8914309,31.61
1.484,0.0610352,-0.0610352,0.0610352,-0.3592529,-0.1820215,9.9153805,31.61
1.495,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.8722706,31.61
1.505,0.0610352,0.0000000,0.0000000,-0.3784131,-0.1724414,9.8962212,31.61
1.516,0.0610352,0.0000000,0.0000000,-0.3640430,-0.1580713,9.8626900,31.62
1.527,0.0000000,0.0610352,-0.0610352,-0.3496729,-0.1820215,9.9058008,31.61
1.538,0.0000000,0.0610352,0.0000000,-0.3400928,-0.1916016,9.9058008,31.61
1.549,0.0000000,0.0610352,0.0000000,-0.3448828,-0.1916016,9.8914309,31.61
1.560,0.0000000,0.0000000,-0.0610352,-0.3448828,-0.1724414,9.8722706,31.60
1.571,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1820215,9.8866405,31.60
1.582,0.0610352,0.0610352,0.0000000,-0.3592529,-0.1772314,9.8914309,31.61
1.593,0.0610352,0.0610352,0.0000000,-0.3448828,-0.1676514,9.8770609,31.62
1.604,0.0000000,0.0000000,-0.0610352,-0.3736230,-0.1724414,9.8770609,31.62
1.615,0.0000000,0.0610352,0.0000000,-0.3832031,-0.1820215,9.8770609,31.62
1.626,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1772314,9.8674803,31.62
1.637,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1724414,9.8962212,31.62
1.648,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1820215,9.8770609,31.61
1.659,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1580713,9.8866405,31.61
1.670,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1628613,9.8866405,31.61
1.681,0.0000000,0.0610352,0.0000000,-0.3448828,-0.1724414,9.8962212,31.61
1.692,0.0000000,0.0610352,0.0000000,-0.3496729,-0.1676514,9.9010105,31.59
1.703,0.0000000,0.0000000,-0.0610352,-0.3640430,-0.1532813,9.8674803,31.59
1.714,0.0610352,0.0000000,0.0000000,-0.3592529,-0.1580713,9.8914309,31.60
1.725,0.0000000,0.0000000,-0.0610352,-0.3736230,-0.1724414,9.8531103,31.60
1.736,0.0000000,0.0000000,-0.0610352,-0.3592529,-0.1772314,9.8626900,31.60
1.747,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1676514,9.8243704,31.60
1.758,0.0000000,0.0610352,-0.0610352,-0.3688330,-0.1580713,9.8674803,31.60
1.769,0.0000000,0.0610352,-0.0610352,-0.3544629,-0.1580713,9.8914309,31.61
1.780,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1676514,9.8914309,31.61
1.791,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1580713,9.8914309,31.60
1.802,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1676514,9.8579006,31.61
1.813,0.0000000,0.0000000,-0.0610352,-0.3496729,-0.1532813,9.8722706,31.61
1.824,0.0000000,0.0000000,-0.0610352,-0.3640430,-0.1676514,9.8770609,31.60
1.835,0.0000000,0.0000000,0.0000000,-0.3544629,-0.2011816,9.8722706,31.61
1.846,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1868115,9.8914309,31.62
1.857,0.0000000,0.0000000,-0.0610352,-0.3448828,-0.1676514,9.8866405,31.61
1.868,0.0000000,0.0000000,-0.0610352,-0.3400928,-0.1676514,9.8722706,31.60
1.879,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1724414,9.8770609,31.60
1.890,0.0610352,0.0000000,0.0000000,-0.3688330,-0.1628613,9.8914309,31.59
1.901,0.0610352,0.0000000,-0.0610352,-0.3688330,-0.1772314,9.8818502,31.61
1.912,0.0610352,0.0000000,0.0000000,-0.3448828,-0.1676514,9.9105911,31.60
1.923,0.0610352,0.0610352,-0.0610352,-0.3496729,-0.1724414,9.8722706,31.60
1.934,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1724414,9.8866405,31.60
1.945,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1868115,9.8818502,31.62
